instance_id,task_id,task_name,task_version,created_at,initialized_at,started_at,completed_at,predicted,actual,procrastination_score,proactive_score,is_completed,is_deleted,cancelled_at,status,duration_minutes,relief_score,cognitive_load,emotional_load,environmental_effect,skills_improved,behavioral_deviation,net_relief,delay_minutes
i1763858829,t1763858825,Workout,1,2025-11-22 18:47,2025-11-22 18:47,,2025-11-22 18:47,"{""time_estimate_minutes"": ""15"", ""expected_relief"": 0.0, ""expected_cognitive_load"": 0.0, ""expected_emotional_load"": 0.0}","{""actual_relief"": 0.0, ""actual_cognitive"": 0.0, ""actual_emotional"": 0.0, ""completion_percent"": 25, ""time_actual_minutes"": 5, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1763901213,t1763901178,Shower,1,2025-11-23 06:33,2025-11-23 06:33,,2025-11-30 06:26,"{""time_estimate_minutes"": ""10"", ""expected_relief"": 50.0, ""expected_cognitive_load"": 50.0, ""expected_emotional_load"": 50.0, ""expected_physical_load"": 50.0}","{""actual_relief"": 50.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 50.0, ""actual_physical"": 50.0, ""completion_percent"": 100, ""time_actual_minutes"": 0, ""notes"": """"}",0.0,10.0,True,False,,completed,0,50.0,50.0,50.0,,,,,
i1763901500,t1763738425,Task aversion project,1,2025-11-23 06:38,2025-11-23 06:38,2025-11-23 07:02,2025-11-23 07:03,"{""time_estimate_minutes"": ""180.0"", ""expected_relief"": 10.0, ""expected_cognitive_load"": 20.0, ""expected_emotional_load"": 60.0}","{""actual_relief"": 10.0, ""actual_cognitive"": 20.0, ""actual_emotional"": 60.0, ""completion_percent"": 20, ""time_actual_minutes"": 10, ""notes"": """"}",0.133,9.333,True,False,,completed,,,,,,,,,
i1763901612,t1763843570,Coursera,1,2025-11-23 06:40,2025-11-23 06:40,,2025-11-24 20:32,"{""time_estimate_minutes"": ""60"", ""expected_relief"": 40.0, ""expected_cognitive_load"": 30.0, ""expected_emotional_load"": 10.0}","{""actual_relief"": 40.0, ""actual_cognitive"": 30.0, ""actual_emotional"": 10.0, ""completion_percent"": 50, ""time_actual_minutes"": 30, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1763901642,,,1,2025-11-23 06:40,2025-11-23 06:40,,2025-11-23 06:40,"{""time_estimate_minutes"": 0, ""expected_relief"": 50.0, ""expected_cognitive_load"": 50.0, ""expected_emotional_load"": 50.0}","{""actual_relief"": 50.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 50.0, ""completion_percent"": 100, ""time_actual_minutes"": 0, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1763902894,t1763858825,Workout,1,2025-11-23 07:01,2025-11-23 07:01,,2025-11-25 00:00,"{""time_estimate_minutes"": ""15"", ""expected_relief"": 40.0, ""expected_cognitive_load"": 20.0, ""expected_emotional_load"": 30.0}","{""actual_relief"": 40.0, ""actual_cognitive"": 20.0, ""actual_emotional"": 30.0, ""completion_percent"": 80, ""time_actual_minutes"": 10, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1764031271,t1763738425,Task aversion project,1,2025-11-24 18:41,2025-11-24 18:41,,2025-11-24 19:17,"{""time_estimate_minutes"": ""180.0"", ""expected_relief"": 40.0, ""expected_cognitive_load"": 60.0, ""expected_emotional_load"": 70.0}","{""actual_relief"": 40.0, ""actual_cognitive"": 60.0, ""actual_emotional"": 70.0, ""completion_percent"": 5, ""time_actual_minutes"": 15, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1764032225,t1763901339,Clean Kitchen,1,2025-11-24 18:57,2025-11-24 18:57,2025-11-24 19:18,2025-11-24 19:54,"{""time_estimate_minutes"": ""30.0"", ""expected_relief"": 60.0, ""expected_cognitive_load"": 0.0, ""expected_emotional_load"": 10.0}","{""actual_relief"": 60.0, ""actual_cognitive"": 0.0, ""actual_emotional"": 10.0, ""completion_percent"": 10, ""time_actual_minutes"": 5, ""notes"": ""cleaned sink""}",0.7,6.5,True,False,,completed,,,,,,,,,
i1764089783,t1763843570,Coursera,1,2025-11-25 10:56,2025-11-25 10:56,,,"{""time_estimate_minutes"": ""60.0"", ""expected_relief"": 10.0, ""expected_cognitive_load"": 20.0, ""expected_emotional_load"": 70.0}","{""actual_relief"": 10.0, ""actual_cognitive"": 20.0, ""actual_emotional"": 70.0, ""completion_percent"": 0, ""time_actual_minutes"": 0, ""notes"": ""Ended up not doing coursera for several days because of birthday and thanksgiving"", ""cancelled"": true}",,,True,False,2025-11-28 04:09,cancelled,,,,,,,,,
i1764204146,t1764204134,strategy brainstorm,1,2025-11-26 18:42,2025-11-26 18:42,,2025-11-26 19:43,"{""time_estimate_minutes"": ""60"", ""expected_relief"": 40.0, ""expected_cognitive_load"": 60.0, ""expected_emotional_load"": 70.0}","{""actual_relief"": 40.0, ""actual_cognitive"": 60.0, ""actual_emotional"": 70.0, ""completion_percent"": 5, ""time_actual_minutes"": 60, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1764322457,t1763843570,Coursera,1,2025-11-28 03:34,2025-11-28 03:34,,2025-11-28 17:00,"{""time_estimate_minutes"": ""60.0"", ""expected_relief"": 10.0, ""expected_cognitive_load"": 30.0, ""expected_emotional_load"": 10.0}","{""actual_relief"": 10.0, ""actual_cognitive"": 30.0, ""actual_emotional"": 10.0, ""completion_percent"": 100, ""time_actual_minutes"": 30, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1764322783,t1764322772,Task Aversion project,1,2025-11-28 03:39,2025-11-28 03:39,,2025-11-28 04:10,"{""time_estimate_minutes"": ""30"", ""expected_relief"": 90.0, ""expected_cognitive_load"": 20.0, ""expected_emotional_load"": 40.0}","{""actual_relief"": 90.0, ""actual_cognitive"": 20.0, ""actual_emotional"": 40.0, ""completion_percent"": 100, ""time_actual_minutes"": 30, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1764331297,t1763901292,Cleaning,1,2025-11-28 06:01,2025-11-28 06:01,,2025-11-28 06:08,"{""time_estimate_minutes"": ""0.0"", ""expected_relief"": 40.0, ""expected_cognitive_load"": 0.0, ""expected_emotional_load"": 60.0}","{""actual_relief"": 40.0, ""actual_cognitive"": 0.0, ""actual_emotional"": 60.0, ""completion_percent"": 100, ""time_actual_minutes"": 5, ""notes"": ""easy cleaning session""}",0.0,10.0,True,False,,completed,,,,,,,,,
i1764331831,t1764331828,Laundry,1,2025-11-28 06:10,2025-11-28 06:10,,2025-11-28 06:22,"{""time_estimate_minutes"": ""10"", ""expected_relief"": 60.0, ""expected_cognitive_load"": 0.0, ""expected_emotional_load"": 10.0}","{""actual_relief"": 60.0, ""actual_cognitive"": 0.0, ""actual_emotional"": 10.0, ""completion_percent"": 65, ""time_actual_minutes"": 10, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1764333155,t1764333152,devtest,1,2025-11-28 06:32,2025-11-28 06:32,,2025-11-28 06:33,"{""time_estimate_minutes"": 0, ""expected_relief"": 50.0, ""expected_cognitive_load"": 50.0, ""expected_emotional_load"": 50.0}","{""actual_relief"": 50.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 50.0, ""completion_percent"": 100, ""time_actual_minutes"": 0, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1764333165,t1764333152,devtest,1,2025-11-28 06:32,2025-11-28 06:32,,2025-11-28 06:33,"{""time_estimate_minutes"": 1, ""emotions"": [], ""expected_cognitive_load"": 50.0, ""physical_context"": ""None"", ""motivation"": 50.0, ""description"": ""working"", ""expected_relief"": 70.0, ""expected_emotional_load"": 20.0}","{""actual_relief"": 70.0, ""actual_cognitive"": 10.0, ""actual_emotional"": 20.0, ""completion_percent"": 100, ""time_actual_minutes"": 1, ""notes"": ""test complete""}",0.0,10.0,True,False,,completed,,,,,,,,,
i1764334648,t1764322772,Task Aversion project,1,2025-11-28 06:57,2025-11-28 06:58,,2025-11-28 07:33,"{""time_estimate_minutes"": 60, ""emotions"": [""Gung-Ho"", ""Excitement""], ""expected_cognitive_load"": 90.0, ""physical_context"": ""Home"", ""motivation"": 90.0, ""description"": ""adding analytics and recommendation"", ""expected_relief"": 80.0, ""expected_emotional_load"": 80.0}","{""actual_relief"": 80.0, ""actual_cognitive"": 30.0, ""actual_emotional"": 80.0, ""completion_percent"": 30, ""time_actual_minutes"": 30, ""notes"": ""got some new features added and debugged ""}",0.017,9.917,True,False,,completed,,,,,,,,,
i1764381292,t1763858825,Workout,1,2025-11-28 19:54,2025-11-28 19:55,,2025-11-28 19:55,"{""time_estimate_minutes"": 10, ""emotions"": [""Neutral""], ""expected_cognitive_load"": 10.0, ""physical_context"": ""Home"", ""motivation"": 50.0, ""description"": """", ""expected_relief"": 40.0, ""expected_emotional_load"": 0.0}","{""actual_relief"": 40.0, ""actual_cognitive"": 10.0, ""actual_emotional"": 0.0, ""completion_percent"": 100, ""time_actual_minutes"": 10, ""notes"": """"}",0.1,9.5,True,False,,completed,,,,,,,,,
i1764430485,t1764322772,Task Aversion project,1,2025-11-29 09:34,2025-11-29 09:36,,2025-11-29 09:43,"{""time_estimate_minutes"": 5, ""emotions"": [""Neutral""], ""expected_cognitive_load"": 30.0, ""physical_context"": ""None"", ""motivation"": 70.0, ""description"": ""adding tracking factors"", ""expected_relief"": 90.0, ""expected_emotional_load"": 30.0, ""expected_physical_load"": 0.0}","{""actual_relief"": 90.0, ""actual_cognitive"": 20.0, ""actual_emotional"": 30.0, ""actual_physical"": 0.0, ""completion_percent"": 100, ""time_actual_minutes"": 5, ""notes"": ""unexpected challenge from hitting free limit and paying for cursor increased emotional demand""}",0.4,8.0,True,False,,completed,,,,,,,,,
i1764431140,t1764322772,Task Aversion project,1,2025-11-29 09:45,2025-11-29 09:46,,2025-11-29 09:57,"{""time_estimate_minutes"": 10, ""emotions"": [""excited""], ""expected_cognitive_load"": 30.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 20.0, ""physical_context"": ""Home"", ""motivation"": 100.0, ""description"": ""tweaks and QOL"", ""expected_relief"": 70.0}","{""actual_relief"": 70.0, ""actual_cognitive"": 40.0, ""actual_emotional"": 10.0, ""actual_physical"": 0.0, ""completion_percent"": 100, ""time_actual_minutes"": 10, ""notes"": ""added QOL and rearranged stuff""}",0.1,9.5,True,False,,completed,,,,,,,,,
i1764432756,t1764322772,Task Aversion project,1,2025-11-29 10:12,2025-11-29 10:13,,2025-11-29 10:21,"{""time_estimate_minutes"": 5, ""emotions"": [""Excitement""], ""expected_cognitive_load"": 40.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 10.0, ""physical_context"": ""Home"", ""motivation"": 70.0, ""description"": ""add relief points concept"", ""expected_relief"": 20.0}","{""actual_relief"": 20.0, ""actual_cognitive"": 60.0, ""actual_emotional"": 20.0, ""actual_physical"": 0.0, ""completion_percent"": 25, ""time_actual_minutes"": 10, ""notes"": ""got scaffolding done but needs debugging""}",0.2,9.0,True,False,,completed,,,,,,,,,
i1764433764,t1764322772,Task Aversion project,1,2025-11-29 10:29,2025-11-29 10:29,,2025-11-29 10:30,"{""time_estimate_minutes"": 5, ""emotions"": [""Excitement""], ""expected_cognitive_load"": 20.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 0.0, ""physical_context"": ""Home"", ""motivation"": 70.0, ""description"": ""add scaffolding for productivity efficiency"", ""expected_relief"": 80.0}","{""actual_relief"": 80.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 20.0, ""actual_physical"": 0.0, ""completion_percent"": 70, ""time_actual_minutes"": 5, ""notes"": ""working""}",0.0,10.0,True,False,,completed,,,,,,,,,
i1764455876,t1764322772,Task Aversion project,1,2025-11-29 16:37,2025-11-29 16:38,,2025-11-29 16:43,"{""time_estimate_minutes"": 5, ""emotions"": [""Neutral""], ""expected_cognitive_load"": 30.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 10.0, ""physical_context"": ""Home"", ""motivation"": 30.0, ""description"": ""do an optimization pass on data tracking files"", ""expected_relief"": 70.0}","{""actual_relief"": 70.0, ""actual_cognitive"": 20.0, ""actual_emotional"": 10.0, ""actual_physical"": 0.0, ""completion_percent"": 100, ""time_actual_minutes"": 10, ""notes"": """"}",0.2,9.0,True,False,,completed,10,70.0,20.0,10.0,,,,,
i1764459363,t1763843570,Coursera,1,2025-11-29 17:36,2025-11-29 17:36,,2025-11-29 17:36,"{""time_estimate_minutes"": 60, ""emotions"": [""Neutral""], ""expected_cognitive_load"": 60.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 20.0, ""physical_context"": ""Home"", ""motivation"": 30.0, ""description"": """", ""expected_relief"": 40.0}","{""actual_relief"": 40.0, ""actual_cognitive"": 10.0, ""actual_emotional"": 20.0, ""actual_physical"": 0.0, ""completion_percent"": 50, ""time_actual_minutes"": 35, ""notes"": """"}",0.0,10.0,True,False,,completed,35,40.0,60.0,20.0,,,,,
i1764505688,t1764322772,Task Aversion project,1,2025-11-30 06:28,2025-11-30 06:28,,2025-11-30 06:28,"{""time_estimate_minutes"": 30, ""emotions"": [""Anxiety"", ""Neutral""], ""expected_cognitive_load"": 60.0, ""expected_physical_load"": 40.0, ""expected_emotional_load"": 50.0, ""physical_context"": ""Home"", ""motivation"": 60.0, ""description"": ""cleanup branches"", ""expected_relief"": 80.0}","{""actual_relief"": 80.0, ""actual_cognitive"": 60.0, ""actual_emotional"": 60.0, ""actual_physical"": 10.0, ""completion_percent"": 100, ""time_actual_minutes"": 40, ""notes"": """"}",0.0,10.0,True,False,,completed,40,80.0,60.0,50.0,,,,,
i1764507144,t1764322772,Task Aversion project,1,2025-11-30 06:52,2025-11-30 06:52,,2025-11-30 07:32,"{""time_estimate_minutes"": 15, ""emotions"": [""Neutral""], ""expected_cognitive_load"": 20.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 20.0, ""physical_context"": ""Home"", ""motivation"": 60.0, ""description"": ""final touches on cleanup"", ""expected_relief"": 80.0}","{""actual_relief"": 80.0, ""actual_cognitive"": 60.0, ""actual_emotional"": 40.0, ""actual_physical"": 0.0, ""completion_percent"": 100, ""time_actual_minutes"": 40, ""notes"": """"}",0.0,10.0,True,False,,completed,40,80.0,20.0,20.0,,,,,
i1764507662,t1764333152,devtest,1,2025-11-30 07:01,2025-11-30 07:01,,2025-11-30 07:01,"{""time_estimate_minutes"": 1, ""emotions"": [""Neutral""], ""expected_cognitive_load"": 0.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 0.0, ""physical_context"": ""None"", ""motivation"": 100.0, ""description"": """", ""expected_relief"": 40.0}","{""actual_relief"": 40.0, ""actual_cognitive"": 0.0, ""actual_emotional"": 0.0, ""actual_physical"": 0.0, ""completion_percent"": 100, ""time_actual_minutes"": 1, ""notes"": """"}",0.0,10.0,True,False,,completed,1,40.0,0.0,0.0,,,,,
i1764509823,t1764333152,devtest,1,2025-11-30 07:37,2025-11-30 07:37,,2025-11-30 07:38,"{""time_estimate_minutes"": 1, ""emotions"": [""Neutral""], ""expected_cognitive_load"": 10.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 10.0, ""physical_context"": ""Home"", ""motivation"": 70.0, ""description"": ""test for gitignore issues"", ""expected_relief"": 50.0}","{""actual_relief"": 50.0, ""actual_cognitive"": 10.0, ""actual_emotional"": 10.0, ""actual_physical"": 0.0, ""completion_percent"": 100, ""time_actual_minutes"": 1, ""notes"": """"}",0.0,10.0,True,False,,completed,1,50.0,10.0,10.0,,,,,
i1764510039,t1764333152,devtest,1,2025-11-30 07:40,2025-11-30 07:41,,2025-11-30 07:41,"{""time_estimate_minutes"": 5, ""emotions"": [""Neutral""], ""expected_cognitive_load"": 20.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 40.0, ""physical_context"": ""Home"", ""motivation"": 30.0, ""description"": ""continuing to test gitignore"", ""expected_relief"": 30.0}","{""actual_relief"": 30.0, ""actual_cognitive"": 10.0, ""actual_emotional"": 20.0, ""actual_physical"": 0.0, ""completion_percent"": 100, ""time_actual_minutes"": 5, ""notes"": """"}",0.2,9.0,True,False,,completed,5,30.0,20.0,40.0,,,,,
i1764518033,t1764322772,Task Aversion project,1,2025-11-30 09:53,2025-11-30 09:54,,2025-11-30 09:54,"{""time_estimate_minutes"": 10, ""emotions"": [""Productive""], ""expected_cognitive_load"": 30.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 10.0, ""physical_context"": ""Home"", ""motivation"": 70.0, ""description"": ""clean up repo"", ""expected_relief"": 60.0}","{""actual_relief"": 60.0, ""actual_cognitive"": 20.0, ""actual_emotional"": 10.0, ""actual_physical"": 0.0, ""completion_percent"": 75, ""time_actual_minutes"": 20, ""notes"": """"}",0.1,9.5,True,False,,completed,20,60.0,30.0,10.0,,,,,
i1764543482,t1763843570,Coursera,1,2025-11-30 16:58,2025-11-30 16:58,,2025-11-30 17:33,"{""time_estimate_minutes"": 30, ""emotions"": [""bored""], ""expected_cognitive_load"": 30.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 20.0, ""physical_context"": ""Home"", ""motivation"": 40.0, ""description"": """", ""expected_relief"": 30.0}","{""actual_relief"": 30.0, ""actual_cognitive"": 70.0, ""actual_emotional"": 40.0, ""actual_physical"": 0.0, ""completion_percent"": 100, ""time_actual_minutes"": 60, ""notes"": """"}",0.0,10.0,True,False,,completed,60,30.0,30.0,20.0,,,,,
i1764612163,t1763843570,Coursera,1,2025-12-01 12:02,2025-12-01 12:03,,2025-12-01 12:03,"{""time_estimate_minutes"": 60, ""emotions"": [""Neutral""], ""expected_cognitive_load"": 30.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 20.0, ""physical_context"": ""None"", ""motivation"": 40.0, ""description"": """", ""expected_relief"": 40.0}","{""actual_relief"": 40.0, ""actual_cognitive"": 20.0, ""actual_emotional"": 10.0, ""actual_physical"": 0.0, ""completion_percent"": 50, ""time_actual_minutes"": 30, ""notes"": """"}",0.017,9.917,True,False,,completed,30,40.0,30.0,20.0,,,,,
i1764634413,t1764322772,Task Aversion project,1,2025-12-01 18:13,2025-12-01 18:14,,2025-12-01 19:34,"{""time_estimate_minutes"": 30, ""emotions"": [""excited"", ""Neutral""], ""expected_cognitive_load"": 60.0, ""expected_physical_load"": 0.0, ""expected_emotional_load"": 40.0, ""physical_context"": ""Home"", ""motivation"": 80.0, ""description"": ""refinement""}","{""actual_relief"": 78, ""actual_cognitive"": 34, ""actual_emotional"": 61, ""actual_physical"": 0, ""completion_percent"": 65, ""time_actual_minutes"": 50, ""notes"": """"}",0.033,9.833,True,False,,completed,50,78,60.0,40.0,,,,,
i1764636483,t1764333152,devtest,1,2025-12-01 18:48,2025-12-01 18:49,,2025-12-01 18:52,"{""time_estimate_minutes"": 3, ""emotions"": [""Neutral""], ""expected_relief"": 52, ""expected_cognitive_load"": 42, ""expected_physical_load"": 0, ""expected_emotional_load"": 47, ""physical_context"": ""Home"", ""motivation"": 62, ""description"": ""dev test""}","{""actual_relief"": 74, ""actual_cognitive"": 23, ""actual_emotional"": 17, ""actual_physical"": 0, ""completion_percent"": 100, ""time_actual_minutes"": 10, ""notes"": """"}",0.333,8.333,True,False,,completed,10,52,42,47,,,,,
i1764640641,t1763843570,Coursera,1,2025-12-01 19:57,2025-12-01 19:57,,2025-12-01 20:30,"{""time_estimate_minutes"": 20, ""emotions"": [""bored"", ""Neutral"", ""Productive""], ""expected_relief"": 74, ""expected_cognitive_load"": 23, ""expected_physical_load"": 0, ""expected_emotional_load"": 35, ""physical_context"": ""None"", ""motivation"": 14, ""description"": """"}","{""actual_relief"": 50, ""actual_cognitive"": 49, ""actual_emotional"": 53, ""actual_physical"": 0, ""completion_percent"": 100, ""time_actual_minutes"": 30, ""notes"": """"}",0.0,10.0,True,False,,completed,30,74,23,35,,,,,
i1764644785,t1764322772,Task Aversion project,1,2025-12-01 21:06,2025-12-01 21:07,,,"{""time_estimate_minutes"": 20, ""emotions"": [""Productive""], ""expected_relief"": 63, ""expected_cognitive_load"": 68, ""expected_physical_load"": 0, ""expected_emotional_load"": 41, ""physical_context"": ""Home"", ""motivation"": 79, ""description"": ""fixing up initialization workflow""}",{},,,False,False,,active,,63,68,41,,,,,
i1764645038,t1764333152,devtest,1,2025-12-01 21:10,2025-12-01 21:11,2025-12-01 21:11,2025-12-01 21:12,"{""time_estimate_minutes"": 0, ""emotions"": [], ""expected_relief"": 83, ""expected_cognitive_load"": 28, ""expected_physical_load"": 0, ""expected_emotional_load"": 10, ""physical_context"": ""Home"", ""motivation"": 100, ""description"": """"}","{""actual_relief"": 98, ""actual_cognitive"": 7, ""actual_emotional"": 60, ""actual_physical"": 0, ""completion_percent"": 100, ""time_actual_minutes"": 1, ""notes"": """"}",1.0,5.0,True,False,,completed,1,83,28,10,,,,,0.0
